Nr.,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Total Cases per 1M,Deaths per 1M,Total Tests,Test per 1M,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
161,Niger,"5,072",,188,,"4,747",,137,1,204,8,"93,345","3,752","24,876,389",Africa,"4,905","132,321",266
162,San Marino,"4,956",,85,,"4,477",,394,10,"145,825","2,501","55,935","1,645,825","33,986",Europe,7,400,1
163,Chad,"4,636",+11,167,,"4,286",,183,,276,10,"110,863","6,604","16,787,343",Africa,"3,621","100,523",151
164,Seychelles,"4,395",,24,,"4,091",,280,,"44,476",243,"21,504","217,612","98,818",Africa,22,"4,117",5
165,Saint Lucia,"4,347",,64,,"4,160",,123,3,"23,589",347,"37,489","203,438","184,277",North America,42,"2,879",5
166,Gibraltar,"4,277",,94,,"4,180",,3,,"126,978","2,791","219,563","6,518,511","33,683",Europe,8,358,0
167,Cambodia,"4,238",+157,29,+3,"2,152",+72,"2,057",,251,2,"770,928","45,624","16,897,563",Asia,"3,987","582,675",22
168,Channel Islands,"4,051",,86,,"3,956",,9,1,"23,135",491,"399,901","2,283,817","175,102",Europe,43,"2,036",0
169,Sierra Leone,"4,005",+10,79,,"2,831",+3,"1,095",,494,10,"118,332","14,606","8,101,850",Africa,"2,023","102,555",68
170,Comoros,"3,789",,146,,"3,577",,66,,"4,287",165,,,"883,854",Africa,233,"6,054",
171,Barbados,"3,719",,44,,"3,587",,88,,"12,929",153,"145,814","506,918","287,648",North America,77,"6,537",2
172,Guinea-Bissau,"3,680",+2,66,,"3,069",+10,545,9,"1,837",33,"60,281","30,084","2,003,753",Africa,544,"30,360",33
173,Eritrea,"3,447",,10,,"3,166",,271,,962,3,"23,693","6,610","3,584,307",Africa,"1,040","358,431",151
174,Burundi,"3,154",+35,6,,773,,"2,375",,259,0.5,"90,019","7,402","12,162,250",Africa,"3,856","2,027,042",135
175,Liechtenstein,"2,753",+15,56,,"2,606",,91,4,"72,044","1,465","32,252","844,006","38,213",Europe,14,682,1
176,Vietnam,"2,693",+1,35,,"2,429",,229,,27,0.4,"2,598,753","26,514","98,015,919",Asia,"36,397","2,800,455",38
177,New Zealand,"2,574",+3,26,,"2,440",,108,,515,5,"1,942,141","388,265","5,002,100",Australia/Oceania,"1,943","192,388",3
178,Monaco,"2,375",+1,31,,"2,242",+12,102,6,"60,192",786,"51,953","1,316,699","39,457",Europe,17,"1,273",1
179,Turks and Caicos,"2,357",,17,,"2,280",,60,2,"60,249",435,"39,783","1,016,922","39,121",North America,17,"2,301",1
180,Sao Tome and Principe,"2,266",+3,35,,"2,184",+5,47,,"10,194",157,"12,597","56,668","222,294",Africa,98,"6,351",18
181,Sint Maarten,"2,185",,27,,"2,118",,40,1,"50,518",624,"25,304","585,037","43,252",North America,20,"1,602",2
182,Liberia,"2,042",,85,,"1,899",,58,2,397,17,"79,684","15,475","5,149,058",Africa,"2,522","60,577",65
183,St. Vincent Grenadines,"1,790",,10,,"1,651",,129,2,"16,095",90,"43,812","393,947","111,213",North America,62,"11,121",3
184,Bermuda,"1,773",,14,,888,,871,28,"28,551",225,"214,340","3,451,585","62,099",North America,35,"4,436",0
185,Saint Martin,"1,693",,12,,"1,399",,282,7,"43,217",306,"26,385","673,533","39,174",North America,23,"3,265",1
186,Isle of Man,"1,574",,29,,"1,445",,100,,"18,435",340,"44,761","524,250","85,381",Europe,54,"2,944",2
187,Caribbean Netherlands,"1,516",,14,,"1,365",,137,,"57,400",530,"10,011","379,047","26,411",North America,17,"1,887",3
188,Antigua and Barbuda,"1,197",,30,,936,,231,45,"12,145",304,"16,493","167,346","98,556",North America,82,"3,285",6
189,Mauritius,"1,192",+2,12,,775,+25,405,,936,9,"358,675","281,666","1,273,405",Africa,"1,068","106,117",4
190,Taiwan,"1,057",+1,11,+1,"1,022",+2,24,,44,0.5,"498,329","20,894","23,850,203",Asia,"22,564","2,168,200",48
191,Timor-Leste,947,,1,,443,,503,,708,0.7,"48,364","36,152","1,337,785",Asia,"1,413","1,337,785",28
192,Bhutan,918,+8,1,,875,,42,,"1,180",1,"651,942","837,784","778,174",Asia,848,"778,174",1
